exchange	date	high	low	close	volume	
bitstamp	9/2/13	205.42	117.15	143.86	208.06	
bitstamp	9/3/13	196.35	103.18	115.50	1253.17	
bitstamp	9/4/13	201.56	107.12	139.65	1133.06	
bitstamp	9/5/13	183.68	111.72	117.22	1344.49	
bitstamp	9/6/13	185.39	105.45	113.07	1003.76	
bitstamp	9/7/13	191.60	100.81	116.12	629.49	
bitstamp	9/8/13	181.04	102.56	125.76	219.93	
bitstamp	9/9/13	185.54	108.92	133.04	1523.35	
bitstamp	9/10/13	195.12	104.64	129.58	1049.77	
bitstamp	9/11/13	201.52	113.51	135.99	1096.35	
bitstamp	9/12/13	205.89	111.74	136.09	1169.44	
bitstamp	9/13/13	201.46	106.41	128.92	1212.11	
bitstamp	9/14/13	191.96	108.66	143.40	532.80	
bitstamp	9/15/13	190.34	111.10	138.48	226.46	
bitstamp	9/16/13	198.64	118.85	150.49	1387.02	
bitstamp	9/17/13	212.40	110.40	189.75	1364.55	
bitstamp	9/18/13	215.84	101.60	138.83	1308.71	
bitstamp	9/19/13	214.23	108.82	108.82	1290.68	
bitstamp	9/20/13	191.33	113.70	136.76	1096.28	
bitstamp	9/21/13	206.28	99.18	147.02	621.76	
bitstamp	9/22/13	185.10	112.88	184.72	325.31	
bitstamp	9/23/13	193.04	119.27	152.82	1571.89	
bitstamp	9/24/13	185.97	103.63	160.66	1621.78	
bitstamp	9/25/13	248.44	116.16	137.00	1269.84	
bitstamp	9/26/13	194.76	98.75	145.11	1336.58	
bitstamp	9/27/13	190.11	115.07	129.57	1210.48	
bitstamp	9/28/13	190.32	101.51	146.22	662.92	
bitstamp	9/29/13	254.00	114.30	150.18	327.86	
bitstamp	9/30/13	201.75	118.33	134.82	1777.69	
bitstamp	10/1/13	253.20	118.66	134.93	1886.73	
bitstamp	10/2/13	191.67	88.00	116.02	1151.79	
bitstamp	10/3/13	177.00	91.30	152.02	829.92	
bitstamp	10/4/13	184.05	104.73	137.66	791.55	
bitstamp	10/5/13	206.00	88.98	118.12	506.69	
bitstamp	10/6/13	183.72	110.00	146.99	219.98	
bitstamp	10/7/13	185.43	95.28	171.60	967.88	
bitstamp	10/8/13	186.34	116.77	140.00	1066.21	
bitstamp	10/9/13	189.34	118.58	125.49	893.24	
bitstamp	10/10/13	189.18	120.39	131.87	896.48	
bitstamp	10/11/13	190.28	114.10	139.50	966.02	
bitstamp	10/12/13	191.25	99.52	140.27	395.07	
bitstamp	10/13/13	198.80	126.66	132.58	165.79	
bitstamp	10/14/13	224.00	114.08	155.34	559.40	
bitstamp	10/15/13	210.00	122.26	151.12	1638.07	
bitstamp	10/16/13	218.22	127.24	163.10	1129.70	
bitstamp	10/17/13	214.32	132.37	143.80	768.83	
bitstamp	10/18/13	226.48	132.74	171.99	1022.92	
bitstamp	10/19/13	248.58	111.34	163.43	703.59	
bitstamp	10/20/13	249.72	135.58	163.25	232.93	
bitstamp	10/21/13	270.00	143.98	202.45	1120.49	
bitstamp	10/22/13	291.18	105.94	209.03	875.83	
bitstamp	10/23/13	304.64	135.80	208.77	911.55	
bitstamp	10/24/13	306.68	166.83	291.38	690.47	
bitstamp	10/25/13	300.00	124.56	197.31	929.79	
bitstamp	10/26/13	283.50	145.13	206.90	477.86	
bitstamp	10/27/13	500.00	151.07	241.43	182.62	
bitstamp	10/28/13	450.00	166.27	201.98	1054.09	
bitstamp	10/29/13	302.91	145.19	222.00	1043.45	
bitstamp	10/30/13	375.00	150.75	210.26	883.06	
bitstamp	10/31/13	301.88	176.76	218.52	693.60	
bitstamp	11/1/13	304.86	152.40	219.84	944.93	
bitstamp	11/2/13	306.69	122.35	204.90	487.25	
bitstamp	11/3/13	309.81	181.93	205.42	243.45	
bitstamp	11/4/13	339.81	182.52	257.53	1099.69	
bitstamp	11/5/13	500.86	179.56	240.00	997.04	
bitstamp	11/6/13	500.00	173.91	234.27	979.12	
bitstamp	11/7/13	500.15	202.99	310.11	917.44	
bitstamp	11/8/13	490.59	204.09	365.25	778.87	
bitstamp	11/9/13	531.92	202.11	259.03	612.12	
bitstamp	11/10/13	457.26	246.62	342.00	114.79	
bitstamp	11/11/13	522.00	247.22	377.99	196.78	
bitstamp	11/12/13	532.34	259.52	371.84	956.43	
bitstamp	11/13/13	586.60	308.19	391.71	739.09	
bitstamp	11/14/13	627.62	321.53	438.89	594.33	
bitstamp	11/15/13	644.94	337.53	440.83	761.61	
bitstamp	11/16/13	672.33	284.00	521.30	443.53	
bitstamp	11/17/13	720.00	130.00	544.81	176.66	
bitstamp	11/18/13	977.34	358.49	796.37	618.89	
bitstamp	11/19/13	1353.60	328.60	709.60	389.31	
bitstamp	11/20/13	1236.90	379.93	804.60	518.41	
bitstamp	11/21/13	1479.64	399.89	590.89	494.59	
bitstamp	11/22/13	1610.70	430.74	781.71	462.86	
bitstamp	11/23/13	1767.99	475.08	884.04	316.34	
bitstamp	11/24/13	1697.64	504.34	850.00	79.34	
bitstamp	11/25/13	1798.85	552.63	859.10	410.03	
bitstamp	11/26/13	1882.04	508.00	969.84	409.98	
bitstamp	11/27/13	2003.40	748.93	1031.11	501.60	
bitstamp	11/28/13	1639.46	712.99	1299.03	137.50	
bitstamp	11/29/13	2295.30	717.85	1246.05	393.23	
bitstamp	11/30/13	1840.02	822.75	1099.13	282.33	
bitstamp	12/1/13	2357.84	731.10	955.69	89.00	
bitstamp	12/2/13	2197.88	752.40	1056.64	345.01	
bitstamp	12/3/13	2215.46	765.00	1080.48	373.51	
bitstamp	12/4/13	2234.19	713.00	1111.96	362.88	
bitstamp	12/5/13	2376.07	705.50	1025.81	403.54	
bitstamp	12/6/13	1602.10	741.45	787.68	288.22	
bitstamp	12/7/13	1479.63	520.56	738.75	208.76	
bitstamp	12/8/13	2370.75	614.75	886.88	54.14	
bitstamp	12/9/13	1989.00	633.60	1128.75	345.93	
bitstamp	12/10/13	2218.50	742.00	919.61	344.25	
bitstamp	12/11/13	2193.84	744.61	865.00	343.95	
